title,review,rating
Trash don’t download,This app ask a lot of questions and bugs a lot,1
It’s pretty neat,"This version is really neat! It has a lot of the features and allows managing chatgpt plus easily and allows to pay with it via iOS. However it is missing some features in chatgpt plus, mainly the beta area, but overall it’s pretty nice and simple!",5
Lovely App,I just typed meow a few times and it got mad at me,5
Fantastic,The most revolutionary tech in decades packages up into an easy to use app. Perfect. Great to see.,5
Deleted conversations can be seen from iOS app,I deleted conversations from chatgpt web. Now they can be seen from iOS app.,4
Dreams come true,6 years ago I had an idea that seemed impossible at the time. This tech made it real. Thank you.,5
Paid to get nothing,"Found out a lot of people are like me, after purchase gpt plus have no access to it but only the free version. No customer service but only a bot q&a. Just had 20 dollars thrown away.",1
This app not support in Iran,This app not support in Iran please do something,1
Amazing,Amazing,5
Best Current AI Chat,"GPT4 is the best performing LLM currently available, and it’s nice to finally be able to access it on mobile via an app!",5
Spying mandatory. Can’t disable chat history.,Why not?,1
"Glad it’s here, still not quite there","Ever since it first release I’ve been waiting for an official app so I’m really glad it’s here! It works great, and I haven’t had any issues so far. 

I should note that beta features aren’t in the app but I’m not really surprised by that. 
The design overall is great and simple, and I love how easy it is to search through chat history.

Only thing holding me back from loving it is the need for something to show how many gpt4 responses you have left in the 3 hour window. Really annoying to run across that warning unexpectedly.",4
Need Apple Watch appp,Need Apple Watch appp,4
Useless,This app only has info up to September 2021. If you try to have a conversation it just produces definitions. Seri does all of this.,1
Keyboard issue,The keyboard when signing into a google account is broken. The keyboard never fully appears.,3
Phone number required to use the app,This app asks for tremendous personal information that is not necessary to the functionality of the app including phone number and birthday.,1
App settings unavailable,"App settings do not seem to be available on my device. In settings, all of my downloaded apps appear for this one. Unsure why that this but primary reason for the 3 star. My device is on the latest iOS release, I reinstalled the app, and restarted my device. Not sure if this is common amongst iOS users.",3
ChatGPT: An Exceptional Conversational AI Experience,"1.	Natural and Engaging Conversations: The quality of conversations with ChatGPT is simply impressive. The AI model understands context, provides relevant responses, and engages in coherent and meaningful discussions. It feels like having a conversation with a knowledgeable human counterpart.
	2.	Broad Knowledge Base: ChatGPT’s training on a vast range of topics means it possesses an extensive knowledge base. It consistently delivers accurate and up-to-date information on various subjects, making it a valuable resource for learning, problem-solving, and exploring new ideas.
	3.	Adaptability and Personalization: The app adapts well to different user preferences and conversational styles. It understands nuances and adjusts its responses accordingly, making the interactions feel tailored to the individual user. This adaptability greatly enhances the user experience and fosters a sense of genuine interaction.
	4.	Friendly and Polite Demeanor: ChatGPT exhibits a friendly and polite demeanor throughout conversations. It maintains a respectful tone, avoiding offensive or inappropriate language. This makes the experience enjoyable and ensures a positive and professional interaction.
	5.	Timely Updates and Improvements: The developers behind ChatGPT are committed to continuous improvement. They actively release updates and enhancements to enhance the app’s performance and address user feedback. This dedication to refinement ensures that the app remains cutting-edge and user-friendly.
	6.	User-Focused Interface: The app’s interface is intuitive, clean, and easy to navigate. It provides a seamless user experience, allowing for smooth and hassle-free conversations. Whether you’re a seasoned user or a newcomer to conversational AI, the app’s user-focused design ensures a comfortable and accessible experience.",5
You’re not getting my real phone number,"The amount of spam calls and texts I get is disgusting. I’m not letting you sell my phone number to your advertisers. Period.

The argument for “security” is bull. SMS spoofing is a real thing, and can literally let your bank account stolen. This is purely for advertising. Even when using Apple sign on!

You’re not getting my freaking phone number, goodness!",1
Banger of an app,This app is absolutely cracking!! I haven’t found any bugs as of yet and everything works incredible.,5
(error=enforcement_failed),Need a lot of Development I checked out the beta version so far respectfully but it seems like it will change the world to easier access of limited knowledge to what you are really know because might be some new born baby when they see my message they will remember it was made by human and we are the greatest on earth we should never let app change us to a way we think that we are not smart but to make it easier for us to understand and learn faster.,2
Really good,香港Chat Gpt消息廣聞 really good,5
When will the iPad version be released?,This will be more productive on the iPad,4
