House_Size,House_Price
2933,599427
1164,395164
1949,440728
1791,233406
3427,482336
1731,376885
2828,267648
3392,616994
2210,466561
1082,241399
3102,361189
906,240059
3277,451142
910,570139
2464,246604
2118,395797
1962,622029
3210,252545
3123,219028
3485,434434
2237,365706
1595,636496
1608,234597
1229,570935
1778,687543
2168,580147
2963,612195
1335,630171
3334,191450
3129,160978
1528,454791
2343,335173
2434,629788
1944,527546
3497,329922
1405,186854
1027,435371
2145,588761
2200,699924
3308,363839
3003,557299
853,200052
1320,224191
842,386860
2236,249693
2590,658209
2913,245968
2689,358988
3041,332298
1004,462363
2511,501450
2566,599141
3275,643604
2633,343741
2816,515324
2961,652006
3460,226628
1795,446174
1940,453400
2433,328871
2567,264606
2488,490341
2167,412290
2426,497161
2971,435327
1917,623896
3424,662740
839,470495
3207,411220
2030,652995
1526,638973
2186,540118
2268,384515
2949,309722
2638,609845
1989,462758
3445,457095
2354,653422
1855,153958
1085,420714
2644,557801
2970,433319
1186,508514
1858,409000
2315,584014
1166,399223
2410,372038
2694,397511
1445,259951
1443,417744
1553,497287
1777,245442
2907,697813
877,263970
2584,234666
3449,591769
2591,348597
2499,607691
2027,322393
890,694099
3202,418609
1942,622310
1686,381531
2424,452975
2640,244546
1537,504916
3381,199023
2848,651146
1506,654852
1496,498155
939,488567
1138,421284
1178,571954
1302,544515
1182,476575
1837,511286
2278,254990
3126,616522
3454,645999
1845,578330
1130,651069
1136,579426
2131,387459
2539,396649
2458,357793
2690,456075
907,459943
2936,309458
2560,260540
3497,601541
922,461878
2718,335972
2604,207810
2317,398394
3166,680286
3201,530373
3151,483352
2396,373406
1909,618956
2114,255503
1533,177767
1482,510955
3433,343648
3068,344005
2081,383025
1833,527603
802,625999
2915,549473
2054,291430
935,274055
1522,443084
1108,577418
2532,173120
2198,210732
2237,599418
1280,394017
1007,548788
2997,598928
1754,284224
1062,327467
1823,427144
2549,546438
2085,536064
2982,224566
1959,389213
2525,695252
3425,337554
2686,423597
947,458696
1883,605286
2932,457769
1149,460260
1186,441221
993,430759
2449,166195
2367,356397
2338,599826
1816,299669
1125,185427
2562,280547
880,618320
1823,162477
2236,531512
1424,668799
2087,293393
1966,233847
2039,537384
1190,326902
1759,346556
2907,597552
1367,544591
1235,327141
3042,342185
1733,650412
1880,308510
2197,271774
3179,254183
2098,640310
1192,186209
2714,270013
3014,672149
1796,414667
2420,595586
1304,437936
1659,571432
1631,183949
1551,311399
1797,677410
2041,314222
1982,480335
1790,469111
2071,333114
1141,581783
2552,695364
3287,151542
2397,548940
1509,388997
1221,464565
2399,486834
3243,275794
1135,462409
1341,348853
1598,622382
1601,583632
3248,661245
3498,169771
2651,444242
1182,225190
3376,560767
2993,481612
1613,508493
1705,433458
2714,402328
1633,548369
2831,611970
1791,499373
1049,244684
2500,194557
1920,286549
2879,567730
2538,606453
1744,546323
1912,432218
2588,192035
1266,210185
2731,204936
1124,201353
2741,578100
1727,600321
2189,625127
1031,647893
3477,269083
1693,209391
1320,684907
2063,377284
