House_Size,House_Price,Num_Bedrooms,Num_Bathrooms
917,1479336,7,3
2569,2423768,6,4
2736,351711,10,2
1824,1762571,1,5
942,1292977,4,5
420,1623076,10,2
2196,2685644,7,4
2390,1335923,7,2
1797,1860518,4,3
1636,1666593,3,3
673,1226409,6,5
3896,207331,9,2
977,2316197,10,1
2846,1386261,1,4
3180,1720261,4,4
1232,2150152,2,5
2242,1668820,2,1
2278,647889,5,5
559,2551385,8,4
2693,711353,8,5
358,251043,1,3
1265,1203606,3,5
3463,283111,2,2
3384,820788,4,3
978,809759,2,1
2000,2492293,5,1
2964,1487890,3,4
3608,2279785,8,1
3566,2407416,6,2
3212,613343,6,1
827,1718908,7,1
174,1429260,10,2
2264,2427055,7,5
488,492422,4,2
250,445805,8,4
3814,800217,10,5
3214,2098392,4,5
1647,2633151,3,2
1582,1386001,3,3
1718,2719382,5,4
2054,243073,9,1
1956,2224070,4,1
1356,2552475,5,4
812,1229035,1,1
949,1414177,9,1
358,2454561,5,5
2443,265174,7,5
3805,663002,6,3
707,1725454,3,5
3899,856470,6,2
2037,2107014,6,3
3495,650008,5,4
558,1683672,5,2
3991,2309269,8,1
4162,1100521,2,3
3123,1843407,7,4
1672,2186325,7,5
1540,1737425,6,2
3790,909378,1,2
2931,979095,1,1
3026,888614,7,3
2919,2266907,10,5
3927,2772285,4,1
863,2742527,5,4
2619,2101015,1,5
2421,2045336,6,2
3924,2363298,4,2
1374,335713,10,1
1219,222622,5,1
1225,1839055,6,5
517,2270180,3,3
2478,2493349,6,4
2720,1809444,3,2
267,2409227,4,1
1091,1046544,8,5
875,2695530,1,3
663,2521787,10,3
3389,1818079,8,1
285,1675590,2,3
173,1279641,10,3
1940,546366,10,3
4146,364104,5,2
1569,746154,8,2
3545,1537321,1,1
3421,2112678,9,4
3822,359755,9,5
757,2115190,2,5
1966,148720,2,4
2269,326987,5,5
1434,2743166,6,1
848,1505619,10,2
3223,161479,9,3
618,337044,7,1
3571,347083,5,3
3831,586634,4,5
2414,199111,2,2
3414,1938212,5,1
1893,2703205,1,3
933,2191969,5,4
4133,978302,2,5
2406,111068,2,1
2606,784780,3,5
3112,1149370,3,1
708,1381290,10,4
2860,1862589,7,5
1719,2776991,1,1
3087,1661366,7,5
4003,219567,9,1
2501,2301771,3,1
4200,931504,4,4
3081,479824,3,3
932,1940817,10,2
3471,951258,5,4
4104,1168482,3,4
3841,1796905,4,1
2593,496674,2,4
2418,1132827,2,3
1213,1104747,10,3
433,2550020,9,3
766,355150,7,1
1284,1555195,2,2
3235,145231,10,2
797,1296506,6,2
3816,231942,1,2
3393,2439692,6,2
2436,1483736,4,5
2989,1325882,8,4
2841,2252784,4,4
1226,2659093,6,1
3170,291979,1,2
2237,939289,8,3
3618,2706385,5,4
1215,1423637,9,4
2409,2068081,1,2
2496,219116,9,4
2617,1010434,3,3
3013,147787,10,2
1848,2537817,8,1
3146,899495,1,5
3424,304173,1,2
3665,2382571,4,3
1838,1841726,4,3
2086,2551840,9,3
2380,2419887,7,1
4092,543954,4,5
1949,1772435,5,5
3448,161518,5,2
2130,1734896,7,4
1669,2549563,5,5
3586,854254,6,1
1985,102981,2,3
4057,2689348,5,2
3991,1732519,2,4
2048,2287964,5,5
774,916371,9,4
2905,1315716,1,5
